19,12
19,11
19,10
19,9
18,9
18,8
18,7
18,6
18,5
19,5
19,4
20,4
20,3
21,3
22,4
22,3
23,3
24,4
25,3
26,3
27,4
27,5
28,5
28,6
29,5
29,4
30,3
28,7
28,8
27,8
27,9
27,10
27,11
27,12
28,13
29,14
29,15
30,15
31,16
32,17
33,18
34,18
35,18
36,18
37,19
37,18
38,19
39,20
40,21
41,22
42,22
43,23
41,23
42,23
43,24
42,24
44,24
44,25
45,26
45,27
45,28
46,29
46,30
47,31
48,32
48,33
48,34
49,33
50,33
51,33
52,33
53,34
54,34
54,35
55,35
56,36
55,36
57,36
58,36
59,36
60,36
61,35
61,36
62,35
63,35
64,35
65,35
66,35
67,35
68,35
69,35
69,36
70,36
70,37
70,38
69,38
68,37
67,38
66,38
65,38
64,38
64,39
63,39
63,40
62,40
62,41
61,42
60,43
59,44
58,45
58,44
57,45
57,46
56,46
56,47
55,47
54,47
53,47
53,48
52,49
51,48
51,47
51,46
50,46
50,45
50,44
49,44
49,43
48,43
48,42
48,41
47,40
47,39
47,38
47,37
47,36
46,35
46,38
46,37
46,36
47,35
47,34
46,33
45,32
44,31
43,31
43,30
43,29
44,29
44,28
43,28
42,28
41,28
41,29
41,30
41,31
41,32
41,33
42,33
40,33
39,34
38,35
37,36
36,36
35,37
35,38
35,39
34,40
34,41
34,42
33,43
32,43
31,42
30,42
29,41
28,40
27,39
26,38
27,37
27,38
26,37
25,36
25,35
25,34
27,34
26,34
28,34
29,35
30,34
31,34
31,33
30,32
29,32
28,31
28,30
28,29
27,29
25,29
26,29
25,30
24,30
24,31
23,31
22,32
22,33
21,33
19,13
20,14
20,15
19,16
19,17
19,18
19,19
20,19
20,20
20,21
21,21
21,22
21,23
20,23
20,24
20,25
21,25
21,26
21,27
21,28
20,29
20,30
20,31
21,31
20,32
20,33
10,35
11,36
11,37
11,38
12,36
13,37
13,38
13,39
14,40
15,40
15,41
16,41
17,42
18,42
19,42
20,43
21,43
22,42
23,43
24,43
25,43
25,44
26,44
27,45
27,46
26,46
25,46
25,47
24,47
23,47
23,48
23,49
22,49
21,50
20,51
21,51
21,52
20,52
19,53
20,53
18,53
18,52
17,52
16,52
16,53
15,53
14,53
13,53
11,53
12,53
12,54
11,54
10,53
9,53
8,54
7,54
6,55
5,55
4,56
4,55
3,54
3,55
2,53
0,52
1,52
0,48
0,50
0,51
0,49
0,47
1,47
